카드명,카드사,연회비_국내,연회비_해외,전월실적_기준,주요혜택
에이스플러스체크카드 (벨리미키),SC제일은행,0,0,100000,"스타벅스: 20%할인 | 도서: 1,500원할인 | 패밀리레스토랑: 10%할인"
에이스플러스체크카드(미키90주년),SC제일은행,0,0,100000,"스타벅스: 20%할인 | 도서: 1,500원할인 | 패밀리레스토랑: 10%할인"
에코마일리지카드(비씨),NH농협카드,6000,8000,300000,에너지절약시: 5만점적립 | 학원: 5%적립 | 병원: 5%적립
엘포인트카드(비씨),NH농협카드,0,15000,500000,롯데쇼핑계열: 3%적립 | 생활업종: 1%적립 | 하나로마트: 3%할인
오늘은e 신용카드,BNK부산은행,7000,10000,300000,간편 결제: 5%청구할인 | 모든 학원업종: 5%청구할인 | 이동통신 요금: 5%청구할인
오일모아카드,광주은행,14000,15000,300000,"주유 리터당: 80~120원캐시백 | 자동차 정비: 5천원캐시백 | 커피, 영화, OTT: 10%캐시백"
올레 Super DC 대구은행카드,iM뱅크,0,8000,300000,KT통신료 최대: 1만5천원할인 | 커피: 10%할인 | 캐시백: 3만원연간
올마이쇼핑 카드 (교통),롯데카드,15000,15000,500000,쇼핑업종: 5%할인 | 대중교통: 10%할인
올마이쇼핑 카드 (점심),롯데카드,15000,15000,500000,쇼핑업종: 5%할인 | 음식점(점심): 10%할인
올마이쇼핑 카드 (통신),롯데카드,15000,15000,500000,쇼핑업종: 5%할인 | 이동통신: 10%할인
올마이쇼핑 카드 (해외),롯데카드,0,15000,500000,쇼핑: 5%할인 | 편의점: 5%할인 | 해외: 10%할인
올바른 BAZIC+ 카드,NH농협카드,0,23000,400000,주말: 최대1.4%할인 | 해외이용: 1%할인 | 선택영역: 최대2.1%할인
올바른 GIVE 카드,NH농협카드,23000,25000,0,기부전용포인트: 0.8%적립 | 온라인쇼핑: 5%할인 | 종합건강검진비: 2만원할인
올바른 OIL&PASS,NH농협카드,13000,15000,400000,주유소: 5%할인 | 교통: 7%할인 | 커피전문점: 2천원할인
올바른지구 카드,NH농협카드,13000,15000,400000,대중교통: 7%청구할인 | 통신비: 5%청구할인 | 스포츠: 5%청구할인
