카드명,카드사,연회비_국내,연회비_해외,전월실적_기준,주요혜택
삼성 iD SELECT ALL 카드,삼성카드,20000,20000,400000,선택 옵션에 따른: 할인 혜택(택 1) | 생활 편의 영역: 5%할인 | 디지털콘텐츠/멤버십: 50%할인
신한카드 Mr.Life,신한카드,0,15000,300000,"공과금: 10%할인 | 마트,편의점: 10%할인 | 식음료: 10%할인"
삼성카드 & MILEAGE PLATINUM (스카이패스),삼성카드,47000,49000,0,"1,000원당: 1마일기본적립 | 국내/해외 택1 옵션형: 1마일특별적립 | 인천공항: 라운지무료이용"
카드의정석 SHOPPING+,우리카드,10000,12000,300000,온라인 쇼핑: 10%청구할인 | 백화점・대형할인점・슈퍼마켓 등: 10%청구할인
THE 1 (스카이패스),삼성카드,245000,250000,300000,기프트 옵션: 15만원 상당서비스 (택1) | 1천원당 최대: 2 마일리지적립 | 인천공항 주차요금: 1만원할인
KB국민 My WE:SH 카드,KB국민카드,15000,15000,400000,KB Pay: 10%할인 | 음식점: 10%할인 | 서비스팩 3개 중: 1개선택할인
삼성카드 taptap O,삼성카드,10000,10000,300000,"스타벅스: 50%할인 | 대중교통: 10%할인 | CGV, 롯데시네마: 5,000원할인"
LOCA 365 카드,롯데카드,20000,20000,500000,"아파트관리비, 공과금: 10%할인 | 교통, 통신, 배달앱: 10%할인 | 스트리밍: 1,500원할인"
ONE 체크카드,케이뱅크,0,0,0,"온·오프라인: 0.6~1.1%캐시백 | 자주 쓰는 곳에서: 5%캐시백 | 3번 결제할 때마다: 1,000원무제한 캐시백"
KB Youth Club 체크카드,KB국민카드,0,0,150000,"[A팩] 6개 영역(OTT, APP 등): 최대 50%할인 | [B팩] 6개 영역(멤버십, 통신 등): 최대 50%할인 | Mastercard: 플래티늄 기본서비스제공"
현대카드 M,현대카드,30000,30000,500000,국내외 가맹점: 1.5%적립 | 온라인 쇼핑몰・일반음식점: 5%적립 | 해외 가맹점: 5%적립
American Express® Gold Card Edition2,현대카드,0,300000,500000,바우처: 연간 25만원상당 | 전 세계 공항라운지: 연 10회무료 이용 | 멤버십리워즈(MR): 최대 3MR적립
굿데이카드,KB국민카드,5000,10000,300000,주유: 60원/L할인 | 통신요금: 10%할인 | 커피: 10%할인
taptap DIGITAL,삼성카드,10000,10000,300000,온라인간편결제: 5%할인 | 스트리밍: 50%할인 | 편의점: 10%할인
삼성 iD SELECT ON 카드,삼성카드,20000,20000,300000,음식점 또는 온라인몰: 금/토/일 10%할인 | 생활 편의 영역: 5%할인 | 인앱 결제/디지털콘텐츠: 50%할인
카드의정석 EVERY DISCOUNT,우리카드,12000,12000,0,국내외 가맹점: 0.8%청구할인 | 국내 온라인 간편결제: 2%청구할인
노리2 체크카드(KB Pay),KB국민카드,0,0,200000,"커피, 모바일, 문화: 10%할인 | 뷰티, 편의점: 5%할인 | KB Pay: 2%추가 할인"
신한카드 SOL트래블 체크,신한카드,0,0,0,해외 이용: 수수료 면제 | 더라운지: 무료입장 | 해외 대중교통: 1%할인
신한카드 처음(ANNIVERSE),신한카드,15000,18000,300000,음식·생활·패션: 5%적립 | 통신·구독·멤버십: 최대 20%적립 | 소비관리 보너스: 매월 최대 1만P
가온올림카드(실속형),KB국민카드,15000,15000,0,국내가맹점: 0.7%적립 | 주말/공휴일: 0.5%추가적립 | 음식·교통: 0.5%추가적립
신한카드 Deep Oil,신한카드,0,10000,300000,4개정유사: 10%할인 | 차량서비스: 10%할인 | 편의점/커피/택시: 5%할인
쿠팡 와우카드,KB국민카드,20000,20000,0,쿠팡 최대: 4만원적립(최대 4%: 기본2%+추가2%) | 쿠팡 외 최대: 1.2만원적립(최대1.2%: 기본 0.2%+추가1%) | [프로모션 기간: ~26.4.14]: 
카드의정석2,우리카드,22000,22000,500000,"국내외 가맹점: 1.2%할인 | 분기별 이용실적에 따라: 최대 15,000원청구할인"
LOCA LIKIT 1.2,롯데카드,10000,10000,0,국내외 가맹점: 1.2%할인 | 온라인: 1.5%할인
삼성 iD SIMPLE 카드,삼성카드,7000,7000,0,"국내 외 가맹점: 0.7%·1%할인 | 온라인쇼핑몰 멤버십: 50%할인 | 영화: 3,000원할인"
메리어트 본보이™ 더 베스트 신한카드,신한카드,264000,267000,0,메리어트 참여호텔: 무료숙박권제공 | 메리어트 참여호텔 이용시: 5P/1천원적립 | 메리어트 본보이™ 멤버십: 골드엘리트제공
BC 바로 On&Off 카드,BC 바로카드,5000,5000,300000,간편결제·온라인: 10%할인 | 대중교통·택시: 10%할인 | 해외가맹점: 10%할인
신한카드 Discount Plan+,신한카드,50000,50000,400000,카페: 10%할인 | 쇼핑: 10%할인 | 정기결제: 최대 20%할인
삼성 iD GLOBAL 카드,삼성카드,20000,20000,500000,해외 이용: 2%할인 | 공항라운지: 연 2회무료 이용 | 디지털콘텐츠: 50%할인
모빌리언스카드,KG모빌리언스,0,0,0,"온라인/오프라인 각각: 1%/0.5%적립 | 편의점, 커피, 외식 최대: 8%적립 | KFC: 10%즉시할인"
WE:SH Travel,KB국민카드,25000,25000,300000,해외 이용 수수료: 1.25%면제 | 해외 이용 금액: 100%환율우대 | 쇼핑・커피・편의점・영화관: 10%할인
디지로카 London,롯데카드,20000,20000,0,국내·해외: 최대 0.7%할인 | 즉시결제: 최대 1%할인 | 추가수수료없이: 나누어납부
올바른 FLEX 카드,NH농협카드,10000,12000,300000,커피: 50%할인 | 스트리밍: 20%할인 | 영화: 30%할인
굿데이올림카드,KB국민카드,15000,20000,300000,주유: 60원/L할인 | 통신요금: 10%할인 | 대형마트: 10%할인
카드의정석 EVERY MILE SKYPASS,우리카드,39000,39000,0,SKYPASS: 최대 2마일리지적립 | 해외이용수수료: 0.3%면제 | 국내 공항라운지: 동반 1인 동시 이용
우리카드 MILE&POINT,우리카드,75000,75000,500000,"국내 이용 1,500원당: 1마일리지적립 | 해외 이용 1,500원당: 최대 2마일리지적립 | 항공 마일리지와: 포인트 동시 적립"
THE iD. 1st,삼성카드,150000,150000,500000,프리미엄 영역 연간: 최대 15만원할인 기프트 | 국내외 가맹점: 1~3%빅포인트 적립 | 공항 라운지: 연 3회무료 이용
신한카드 The CLASSIC-S,신한카드,97000,100000,0,"이용금액: 1%기본적립 | 이용금액: 0.5%추가적립 | 해외, 면세점: 2%추가적립"
우리카드 7CORE,우리카드,0,50000,500000,"온라인쇼핑, 대형마트, 커피: 10%청구 할인 | 배달앱: 10%청구 할인 | 교육, 병원, 주유: 10%청구 할인"
현대카드 ZERO Up,현대카드,30000,30000,0,국내외 가맹점: 0.8%청구 할인 | 온라인몰/대형마트: 1.6%청구 할인
신한카드 Air One,신한카드,0,49000,500000,"국내/해외 1,000원당: 1마일적립 | 항공/면세: 2배적립 | 해외: 2배적립"
디지로카 Las Vegas,롯데카드,20000,20000,0,국내외 가맹점: 최대 2%할인 | 국내 가맹점: 2~3개월무이자
네이버페이 머니카드,네이버페이,0,0,0,해외 온/오프라인: 3%적립 | 네이버 쇼핑: 1.5%적립 | 국내 온/오프라인: 0.3%적립
JADE Classic,하나카드,115000,120000,500000,바우처: 10만원 상당제공 | 전세계 공항라운지: 연 3회 무료이용 | 국내외 가맹점: 1%하나머니 적립
현대카드ZERO Edition3(할인형),현대카드,15000,15000,0,국내외 가맹점: 0.8%할인
삼성카드 스페셜마일리지(스카이패스),삼성카드,97000,99000,0,"1,000원당 스카이패스: 1마일리지기본적립 | 아웃백스테이크하우스: 30,000원결제일할인 | 1,000원당 스카이패스: 1마일리지추가적립"
카드의정석 I&U+,우리카드,12000,12000,300000,국내가맹점: 1.0~0.7%청구할인 | 주유: 60~100원/L청구할인 | 대중교통: 10%청구할인
the OPUS silver,우리카드,150000,150000,500000,프리미엄 바우처: 최대 13만원제공 | 항공/호텔/면세/골프/해외: 3%적립 | OTT/뷰티/여가: 10%할인
American Express® Green Card Edition2,현대카드,0,150000,500000,바우처: 연간 12만원상당 | 전 세계 공항라운지: 연 5회무료 이용 | 멤버십리워즈(MR): 최대 2MR적립
BC 바로 MACAO 카드,BC 바로카드,12000,12000,300000,모든 주유소: 최대 10%할인 | 장보기: 최대 10%할인 | 해외 가맹점: 2%할인
현대카드 Summit,현대카드,200000,200000,500000,국내외 가맹점: 1.5%적립 | 공항라운지: 무료이용 | 병원・약국: 5%적립
K-패스 (신용),IBK기업은행,2000,4000,200000,대중교통 최대: 300원할인 | 주유: 40원/L할인 | 통신: 3%할인
토스뱅크 체크카드,토스뱅크,0,0,0,"일상 속 7가지 영역: 월 최대 35,000원캐시백 | 온라인 결제 7가지 영역: 월 최대 14,000원캐시백 | 국내 온·오프라인 어디서나: 0.3%캐시백"
롯데 국민행복카드,롯데카드,0,0,300000,어린이집보육료: 10%할인 | 병원: 5%할인 | 학원: 10%할인
트래블러스 체크카드(토심이),KB국민카드,0,0,200000,"해외 이용 수수료: 면제 | 철도: 5,000원할인 | 전국맛집: 5,000원할인"
zgm.streaming카드,NH농협카드,12000,12000,400000,멤버십 이용요금: 7천원청구 할인 | 스트리밍 이용요금: 50%청구 할인 | 스타벅스 사이렌오더: 50%청구 할인
더나은 체크카드,MG새마을금고,0,0,300000,간편결제: 20%할인 | 온라인쇼핑: 20%할인 | 커피전문점: 20%할인
메리어트 본보이™ 더 클래식 신한카드,신한카드,144000,147000,0,"연간 기프트: 15,000P제공 | 메리어트 본보이™ 포인트: 최대4P적립 | 메리어트 본보이™ 멤버십: 엘리트제공"
현대카드T,현대카드,15000,15000,0,실적·한도 제한 없이 국내 가맹점: 0.7%청구 할인 | 해외 온·오프라인 가맹점: 2%청구 할인 | 국제브랜드 및 해외서비스 수수료: 100%청구 할인
카드의정석 TEN,우리카드,12000,12000,400000,커피: 10%할인 | 편의점: 10%할인 | 음식점/주점: 1%할인
하나 스카이패스 아멕스 플래티늄 카드,하나카드,0,45000,500000,"국내 이용금액 1,000원 당: 1마일리지적립 | 해외 이용금액 1,000원 당: 2마일리지적립 | 인천공항 라운지: 무료서비스제공"
신한카드 Point Plan+,신한카드,30000,33000,400000,국내 결제금액: 최대 3%적립 | 주말 외식비: 1천 포인트적립 | OTT: 최대 2천 포인트적립
신한카드 Point Plan,신한카드,20000,23000,0,국내 가맹점: 최대 3%적립 | 주말 외식비: 1천 포인트적립 | 도시가스/전기요금: 1천 포인트적립
American Express® Reserve,삼성카드,0,150000,0,온라인쇼핑·해외: 5%적립 | Food·Coffee·Movie: 30%할인 | 특수소재플레이트: 무료제공
네이버페이 머니 하나 체크카드,하나카드,0,0,250000,네이버페이: 1.2%포인트 적립
LOCA LIKIT,롯데카드,10000,10000,400000,스타벅스 최대: 60%할인 | 영화: 50%할인 | 이동통신: 10%할인
삼성 iD ON 카드,삼성카드,20000,20000,300000,많이쓰는 영역 자동맞춤: 30%할인 | 교통/이동통신/스트리밍: 10%할인 | 온라인간편결제/해외: 3%·1%할인
디지로카 Paris,롯데카드,20000,20000,500000,국내·해외: 0.7%할인 | 온라인 쇼핑: 최대 5%할인
개이득 체크카드,우체국,0,0,0,국내 전 가맹점: 0.3%캐시백 | OTT: 30%캐시백 | 패션: 30%캐시백
zgm.play카드,NH농협카드,12000,12000,300000,"영화: 5,000원할인 | 커피: 30%할인 | 패스트푸드: 20%할인"
현대카드ZERO Edition3(포인트형),현대카드,15000,15000,0,국내외 가맹점: 1.2%적립
나라사랑체크카드,KB국민카드,0,0,100000,P.X / GS25해군마트 최대: 20%할인 | 대중교통: 20%할인 | 영화: 35%할인
DA카드의정석Ⅱ,우리카드,12000,12000,300000,모든가맹점: 0.8%할인 | 생활업종: 1.3%할인 | 국내 공항라운지: 무료이용
카드의정석 EVERY POINT,우리카드,12000,12000,400000,국내외 가맹점: 0.8%적립 | 간편결제: 2%추가 적립
카카오뱅크 프렌즈 체크카드,카카오뱅크,0,0,0,국내외 가맹점: 0.2~0.4%캐시백 | 학원 업종: 1만원캐시백 | 배달의민족: 1천원캐시백
LOCA LIKIT Play,롯데카드,10000,10000,400000,주유소: 60%할인 | 영화: 60%할인 | 구독서비스: 60%할인
신한카드 Edu Plan+,신한카드,40000,43000,500000,학원비: 최대 10%캐시백 | 3대 할인점: 1%캐시백 | 메가박스: 7천원할인
티머니 Pay & GO 신한카드,신한카드,15000,18000,300000,"버스, 지하철: 30%할인 | 고속버스, 택시: 20%할인 | 이동통신요금: 5%할인"
zgm.the pay카드,NH농협카드,12000,12000,0,국내 전 가맹점: 1.0%청구 할인 | 해외 전 가맹점: 1.0%청구 할인 | 온라인 간편결제: 최대 1.7%청구 할인
ALL 우리카드 Infinite,우리카드,500000,500000,500000,"ALL 리워드 포인트: 14,000적립 | 아코르플러스 유료 멤버십: 자동가입 | 3,000원 당 최대: 5 ALL 리워드 포인트적립"
대한항공카드 300,현대카드,300000,300000,500000,"연간 보너스: 1만마일리지 | 1,000원당: 최대 3마일리지적립 | 직판 항공권: 10만원할인 쿠폰"
신한카드 Deep Dream 체크,신한카드,0,0,0,모두드림: 0.2%적립 | 더해드림: 0.6%적립 | 챙겨드림: 1.0%적립
KB 틴업 체크카드,KB국민카드,0,0,0,"편의점: 5%할인 | 다이소, 올리브영: 5%할인 | PC방, 모바일: 5%할인"
IBK포인트(신용),IBK기업은행,21000,22000,500000,국내외가맹점: 최대 3.3%적립
알리익스프레스 신한카드,신한카드,16000,19000,300000,알리익스프레스: 10%할인 | 음식점·카페·배달앱: 10%할인 | 해외: 1%적립
CLUB SK 카드,하나카드,6000,25000,400000,"SK텔레콤 요금 최대: 15,000원청구할인 | SK주유소 최대: 150원/L청구할인 | 영역별 월 최대 할인한도: 22,000원"
트래블로그 신용카드,하나카드,20000,20000,0,국내외가맹점: 1%적립 | 해외 가맹점: 3%적립 (월 적립한도 5만 하나머니) | 항공/면세점/여행: 3%적립 (월 적립한도 5만 하나머니)
K-패스엔로카,롯데카드,20000,20000,400000,대중교통: 최대 15%할인 | 커피: 최대 15%할인 | 스트리밍: 최대 15%할인
클래시 트래블카드,NH농협카드,120000,120000,1000000,국내가맹점: 1.2%적립 | 해외가맹점: 3~4%적립 | 전세계: 공항라운지 무료입장
LOCA Professional,롯데카드,300000,300000,0,국내・해외: 1%캐시백 | 즉시결제: 추가 1%캐시백
토스뱅크 하나카드 Day,하나카드,20000,20000,500000,"관리비, 통신비: 10%할인 (월 최대 5만 원 할인) | 마트, 병원비, 학원업종: 10%할인 (월 최대 5만 원 할인) | 커피, 골프, 보험: 10%할인 (월 최대 5만 원 할인)"
Haru(Hoshino Resorts),신한카드,30000,30000,300000,일본 이용: 3.5%적립 | 국내 이용: 1%적립 | 호시노리조트 계열: 최대 30%할인
LOCA LIKIT Eat,롯데카드,10000,10000,400000,음식점: 60%할인 | 배달앱: 60%할인 | 커피: 60%할인
토스뱅크 하나카드 Wide,하나카드,20000,20000,400000,국내외 모든 가맹점: 최대 2%청구할인
카드의정석 오하CHECK,우리카드,0,0,200000,온라인 쇼핑: 5%캐시백 | 간편결제: 5%캐시백 | 스타벅스: 5%캐시백
트래블로그 체크카드,하나카드,0,0,0,해외 가맹점 이용: 수수료면제 | 해외 ATM 인출: 수수료면제 | 국내가맹점: 0.3%적립
GOAT BC 바로카드,BC 바로카드,12000,12000,0,국내 가맹점: 최대 1.5%적립 | 국외 가맹점: 최대 3%적립 | 연간사용액 3천만원 이상 시: 10%추가 적립
K-패스카드,KB국민카드,8000,8000,300000,대중교통: 10%할인 | 생활서비스: 5%할인 | KB Pay 이용 시: 5%추가할인
노리체크카드,KB국민카드,0,0,200000,"대중교통: 10%청구할인 | 이동통신요금: 2,500원환급할인 | CGV: 35%환급할인"
현대백화점카드,현대백화점,0,0,0,현대백화점: 5%할인 | 현대백화점 2시간: 무료주차 | 3개월: 무이자할부
BeV V카드(스카이패스형),KB국민카드,0,295000,500000,쿠폰 서비스: 연 1회제공 | 주중 월~목: 1.2~1.5M마일리지 적립 | 주말 금~일: 1.5~3M마일리지 적립
I-ALL,IBK기업은행,14000,15000,0,"국내·외 가맹점: 0.5%할인 | 홈쇼핑, 배달앱, 대형마트: 최대 1.5%할인 | OTT, 온라인멤버십: 최대 7%할인"
원더카드 2.0 LIFE,하나카드,19900,19900,400000,"넷플릭스・디즈니플러스 등: 40%청구할인 | 아파트관리비・전기세・가스비: 10%청구할인 | 영역별 월 최대 할인한도: 15,000원"
zgm.휴가중카드,NH농협카드,25000,25000,500000,"해외가맹점 최대: 5%적립 | 여행: 20%할인 | 항공권, 면세점: 0.5%추가적립"
롯데멤버스 카드,롯데카드,30000,30000,500000,국내외 가맹점: 0.5%기본적립 | 롯데멤버스 브랜드: 최대 5%특별적립 | 최대: 20만점 미리적립(선지급 포인트 서비스)
힐튼 아너스 아멕스 프리미엄,롯데카드,497000,500000,0,"1,500원당 최대: 8포인트적립 | 전세계 힐튼 호텔: 주말 숙박권 | 힐튼 아너스 멤버십 등급: 업그레이드"
현대카드 MX Black Edition2,현대카드,200000,200000,500000,국내외 가맹점: 1%적립 | 공항라운지: 무료이용
BC 바로 클리어 플러스,BC 바로카드,5000,5000,150000,점심식사/배달앱: 7%할인 | 온라인쇼핑: 10%할인 | 휴대폰요금/스트리밍: 10%할인
Easy all 티타늄카드,KB국민카드,30000,30000,500000,20개 영역 중: 선택형할인 | 택시: 10%할인 | 온라인쇼핑: 5%할인
the Red (항공 마일리지형),현대카드,300000,300000,500000,"1,500원당: 1 대한항공 마일리지적립 | 연 1회: 30만원 상당바우처 제공 | 공항 라운지: 연간 10회무료 이용"
토심이 첵첵 체크카드,KB국민카드,0,0,300000,대중교통: 2~4천원할인 | 온라인간편결제: 2~4천원할인 | 스타벅스: 2~4천원할인
롯데멤버스 카드 프리미엄,롯데카드,150000,150000,500000,국내외 가맹점: 0.7%기본적립 | 롯데멤버스 브랜드: 최대 5%특별적립 | 최대: 50만점 미리적립(선지급 포인트 서비스)
신한카드 RPM+ Platinum#,신한카드,0,32000,500000,모든주유소: 40~150P/L적립 | 모든충전소: 10~50P/L적립 | 모든가맹점: 0.2~2%적립
하나 나라사랑카드(체크),하나카드,0,0,0,군마트(P.X.): 최대 30%캐시백 | 쿠팡/네이버플러스 스토어: 20%캐시백 | CU: 최대 30%현장할인
D4카드의정석Ⅱ,우리카드,12000,12000,300000,커피 4대 브랜드: 55%청구할인 | 시내버스・지하철・택시: 33%청구할인 | 편의점: 11%청구할인
직장인보너스체크카드,KB국민카드,0,0,200000,"국세/지방세: 7,000원할인 | GS칼텍스: 60~50원/L할인 | 백화점: 5%할인"
JADE Prime,하나카드,295000,300000,500000,"바우처: 20만원 상당제공 | 전 세계 공항라운지: 연 6회, 일 3회무료 이용 | 국내 가맹점: 최대 1.5%하나머니 적립"
신한카드 처음 체크(냐한남자),신한카드,0,0,100000,독서실·도서·문구: 5%적립 | 편의점·푸드·카페: 5~7%적립 | 사진/쇼핑: 1천/3천 포인트적립
신한카드 국민행복,신한카드,0,0,300000,넷플릭스/유튜브: 50%할인 | 배달앱: 10%할인 | 어린이집/유치원: 10%할인
the Green Edition3,현대카드,150000,150000,500000,"국내외 가맹점: 1.5%M포인트 적립 | 여행, 해외 영역: 5%M포인트 적립 | 공항 라운지: 연간 5회무료 이용"
네이버페이 taptap,삼성카드,15000,15000,300000,네이버페이: 10%적립 | 커피전문점: 5%적립 | 전가맹점: 0.5%적립
삼성카드 taptap S,삼성카드,10000,10000,500000,"모든가맹점: 1%적립 | 모든주유소: 2,000원할인 | 모든영화관: 5,000원할인"
신한카드 The BEST-F,신한카드,0,202000,300000,"캐시백형: 1%캐시백 | 대한항공형: 1,500원/1마일적립 | 기프트옵션: 1회/연제공"
현대카드Z work Edition2,현대카드,20000,20000,500000,카페: 10%할인 | 온라인 쇼핑: 10%할인 | 대중교통: 10%할인
신한카드 Deep On Platinum+,신한카드,0,30000,300000,국내 온라인: 10%할인 | 4대 편의점: 20%할인 | 항공권: 10%할인
트래블러스 체크카드,KB국민카드,0,0,200000,"해외 이용 수수료: 면제 | 철도: 5,000원할인 | 전국맛집: 5,000원할인"
국민행복 삼성카드 V2,삼성카드,0,0,0,쇼핑: 7%할인 | 보육: 7%할인 | 생활요금: 7%할인
신한카드 처음,신한카드,15000,18000,300000,음식점·카페·편의점·온라인쇼핑: 5%적립 | 생활·여행·패션: 5%적립 | 정기결제: 최대 20%적립
싱가포르항공 크리스플라이어 더 베스트 신한카드,신한카드,247000,250000,500000,"연 1회: 1만 5천 마일리지적립 | 1,500원당: 2마일리지적립 | 공항라운지: 연 2회무료"
코웨이 IBK카드,IBK기업은행,12000,15000,300000,"코웨이 렌탈: 최대 23,000원할인"
현대카드O,현대카드,15000,15000,400000,"주유소, 충전소: 10%청구 할인 | 차량 정비소, 세차장: 10%청구 할인 | 이동통신 요금, 아파트 관리비, 도시가스 요금: 5%청구 할인"
HERITAGE Smart [대한항공 마일리지형],KB국민카드,200000,200000,500000,할인 쿠폰: 3가지택1 | 국내외가맹점 1천원당: 1~2마일리지적립 | KB Pay 2천원당: 1마일리지적립
네이버 현대카드 Edition2,현대카드,20000,20000,500000,네이버 최대: 7%적립 | 그외 국내외 가맹점: 0.7%적립
LOCA X 기후동행카드,롯데카드,10000,10000,300000,"기후동행카드: 최대 15,000원할인 | 국내 가맹점: 0.5%할인"
신한카드 Hey Young 체크,신한카드,0,0,200000,대중교통: 5%캐시백 | 영화: 5천원캐시백 | 간편결제: 1%캐시백
IBK 나라사랑카드,IBK기업은행,0,0,80000,대중교통: 10%할인 | 철도/고속버스: 5%할인 | CU: 5%현장할인
THE iD. PLATINUM(포인트),삼성카드,215000,220000,500000,기프트 서비스: 15만원 상당제공 | 국내 가맹점: 1%빅포인트 적립 | 특별 가맹점: 1.5%빅포인트 적립
zgm 할인카드,NH농협카드,27000,30000,400000,국내외 가맹점: 최대 2%할인 | 공과금: 10%할인 | 디지털 구독: 30%할인
K-패스 신한카드 체크,신한카드,0,0,200000,대중교통: 10%할인 | 간편결제: 2%할인 | 생활 부문: 2%할인
IBK포인트3.8(신용),IBK기업은행,37000,38000,500000,국내외 가맹점: 1.5%적립 | 해외 가맹점: 5%적립 | 온라인쇼핑: 0.5%적립
K-패스카드(체크),NH농협카드,0,0,200000,대중교통: 10%할인 | 렌터카/카쉐어링: 5%할인 | 전기차 충전: 5%할인
삼성 iD PLUG-IN 카드,삼성카드,20000,20000,400000,"전기차 충전요금: 최대 40%할인 | 주차장/대리운전: 20%할인 | 자동차보험: 30,000원할인"
신한카드 나라사랑카드 체크,신한카드,0,0,100000,군마트(P.X.): 20%캐시백 | 군 체력단련장·휴양시설: 20%캐시백 | 시내버스·지하철: 20%캐시백
zgm.일본여행중 카드,NH농협카드,23000,25000,300000,해외 결제: 해외서비스수수료 면제 | 일본 오프라인 전매장: 10%적립 | 공항라운지: 무료이용
신한카드 구독 좋아요,신한카드,15000,18000,400000,디지털구독: 100%할인 | 정기결제 자동이체: 1천원할인 | 생활 서비스: 10%할인
American Express The Platinum Card®Edition2,현대카드,0,1000000,500000,"1,000원당: 1~5 멤버십 리워즈적립 | 연간 보너스: 85만원 상당바우처 제공 | 공항라운지: 연 10회무료 이용"
대한항공카드 the First Edition2,현대카드,800000,800000,500000,"연간 보너스: 3만마일리지 | 1,000원당: 최대 5마일리지적립 | 직판 항공권: 20만원할인 쿠폰"
카카오페이 신한 체크카드,신한카드,0,0,0,카카오페이: 2%적립 | 대중교통: 3%적립 | CGV 최대: 3천원적립
삼성 iD ENERGY 카드,삼성카드,20000,20000,500000,주유: 1만원할인 | 스타벅스 드라이브 스루: 30%할인 | 고속도로 통행료: 10%할인
대한항공카드 120,현대카드,120000,120000,500000,"연간 보너스: 6천마일리지 | 1,000원당: 최대 2마일리지적립 | 직판 항공권: 5만원할인 쿠폰"
모니모A 카드,삼성카드,10000,10000,300000,"국내외 가맹점: 최대 1%적립 | 보험: 9%추가 적립 | 스타벅스: 5,000원할인"
현대카드M CHECK,현대카드,2000,0,0,이용금액별: 1~0.5%적립
NH20해봄체크카드,NH농협카드,0,0,200000,온라인쇼핑몰: 5%할인 | 배달앱: 5%할인 | 커피: 20%할인
노리2 체크카드(Global),KB국민카드,0,0,200000,"커피,모바일,문화: 10%할인 | 해외 가맹점: 2%할인 | 공항라운지: 연 1회이용권"
I-Mileage (대한항공),IBK기업은행,41000,42000,500000,국내・해외 가맹점: 1마일리지적립 | 공항 라운지: 무료 이용서비스 | 스타벅스: 4천원청구할인
The CLASSIC NEO,신한카드,117000,120000,400000,Gift 옵션: 7만 마이신한포인트적립 (연 1회) | 국내/해외: 1.5~5%적립 | 평일 점심 요식업종: 월 최대 2만원할인
삼성 iD ALL 카드,삼성카드,20000,20000,400000,많이 쓰는 영역 자동 맞춤: 5%할인 | 주유/이동통신/아파트관리비: 2.5%할인 | 국내외가맹점: 0.5%할인
신한카드 The CLASSIC+,신한카드,0,120000,300000,"1,500원당: 1마일적립 | 1,000원당: 1마일적립 | PP카드: 무료제공"
올바른 NEW HAVE카드,NH농협카드,12000,12000,0,국내외가맹점: 0.7%적립 | 이용금액 1위: 3배적립 | 공항라운지: 무료이용
삼성 iD VITA 카드,삼성카드,20000,20000,500000,의료: 20%할인 | 보험: 10%할인 | 헬스/뷰티: 20%할인
신한카드 Deep Taking,신한카드,20000,20000,400000,최다이용영역: 2%적립 | 푸드: 2%적립 | 생활: 2%적립
현대카드 Summit CE,현대카드,80000,80000,500000,"국내외 가맹점: 1.5%M포인트 적립 | 교육, 병원, 여행, 골프: 5%M포인트 적립 | 연간 보너스: 5만원크레딧 제공"
KTX 삼성카드,삼성카드,20000,20000,400000,국내외가맹점: 0.5%포인트 적립 | 한국철도공사: 5%포인트 추가 적립 | 생활필수영역: 0.5%포인트 추가 적립
원더카드 2.0 FREE+,하나카드,19900,19900,400000,"국내외가맹점: 0.8%청구할인 | 간편결제: 1.2%청구할인 | 영역별 월 최대 할인한도: 12,000원"
탐나는전 체크카드,KB국민카드,0,0,100000,국내외가맹점: 0.2%기본적립 | 주말/공휴일: 0.2%추가적립 | 대중교통/택시: 0.2%추가적립
LOCA LIKIT Shop,롯데카드,10000,10000,400000,온라인쇼핑: 60%할인 | 미용실: 60%할인 | 편의점: 60%할인
다담카드,KB국민카드,0,15000,300000,교통/통신: 10%할인 | 주유소/충전소: 60원/L할인 | 생활/교육/쇼핑 등: 적립팩선택
KB국민 Our WE:SH 카드,KB국민카드,15000,15000,400000,"대형마트: 5%청구할인 | 영화관,공연장/전시장: 10%청구할인 | 이동통신 자동납부: 10%청구할인"
토스 삼성카드,삼성카드,15000,15000,300000,토스/온라인 영역: 15%/10%할인 | 토스프라임/인앱 결제/디지털콘텐츠: 50%할인 | 스타벅스: 50%할인
KB YOU Prime 카드,KB국민카드,30000,30000,400000,[일상팩] 주유/배달/통신: 10%할인 | [가족팩] 생활요금/온라인장보기/일상케어: 10%할인 | 해외 이용 수수료: 면제서비스
꿀카드,MG새마을금고,0,0,0,"쿠팡 로켓와우 최대: 2,900원할인 | OTT 서비스: 2천원할인 | 음원 스트리밍: 1천원할인"
삼성 iD PET 카드,삼성카드,15000,15000,400000,동물병원/반려동물쇼핑몰: 30%할인 | 온라인간편결제: 5%할인 | 손해보험: 10%할인
새로이 체크카드,KB국민카드,0,0,300000,편의점: 5%할인 | 이동통신요금: 5%할인 | 정기구독: 5%할인
신한카드 Eats More(이츠모아),신한카드,15000,18000,400000,"전가맹점 결제금액: 1천원미만기본적립 | 추가적립업종 건당: 최대 1,600P추가적립 | 환전수수료: 면제서비스"
위비트래블 체크카드,우리카드,0,0,0,해외: 5%캐시백 | 푸드: 5%캐시백 | 해외 가맹점: 이용 수수료면제
춘식이달달체크카드,NH농협카드,0,0,200000,커피·편의점·영화·온라인쇼핑·배달앱: 최대 1%적립 | OTT: 5%적립 | 국제공항 라운지: 무료이용서비스
